Call Sign	Number	Service Name	Subscribed Lineup	Scanned Source(s)	TuningInfo	MatchName	Service Callsign
BBCLON	718	BBC Radio London	EPG123 Freesat - London (London)	Digital Satellite (DVB-S)	10803 H (6470)	DVBS:282:10803:2:2047:6470	BBCLON
CLASSFM	721	Classic FM	EPG123 Freesat - London (London)	Digital Satellite (DVB-S)	11553 H (9570)	DVBS:282:11553:2:2095:9570	CLASSFM
BBC2WVM	801	BBC Two Wales HD	EPG123 Freesat - London (London)	Digital Satellite (DVB-S)	10847 V (6912)	DVBS:282:10847:2:2050:6912	BBC2WVM
BBC2NI	802	BBC Two (Northern Ireland)	EPG123 Freesat - London (London)	Digital Satellite (DVB-S)	10818 V (10362)	DVBS:282:10818:2:2048:10362	BBC2NI
BBC1EAST	901	BBC One East	EPG123 Freesat - London (London)	Digital Satellite (DVB-S)	10773 H (6351)	DVBS:282:10773:2:2045:6351	BBC1EAST
BBC1IS	902	BBC One Channel Islands	EPG123 Freesat - London (London)	Digital Satellite (DVB-S)	10773 H (6361)	DVBS:282:10773:2:2045:6361	BBC1IS
BBC1EAST	903	BBC One East	EPG123 Freesat - London (London)	Digital Satellite (DVB-S)	10788 V (10306)	DVBS:282:10788:2:2046:10306	BBC1EAST
BBC1EM	904	BBC One East Midlands	EPG123 Freesat - London (London)	Digital Satellite (DVB-S)	10788 V (10305)	DVBS:282:10788:2:2046:10305	BBC1EM
BBC1LDN	905	BBC One London	EPG123 Freesat - London (London)	Digital Satellite (DVB-S)	10773 H (6301)	DVBS:282:10773:2:2045:6301	BBC1LDN
BBC1NE	906	BBC One North East & Cumbria	EPG123 Freesat - London (London)	Digital Satellite (DVB-S)	10803 H (6471)	DVBS:282:10803:2:2047:6471	BBC1NE
BBC1NW	907	BBC One North West	EPG123 Freesat - London (London)	Digital Satellite (DVB-S)	10803 H (6441)	DVBS:282:10803:2:2047:6441	BBC1NW
BBC1NI	908	BBC One Northern Ireland	EPG123 Freesat - London (London)	Digital Satellite (DVB-S)	10818 V (10361)	DVBS:282:10818:2:2048:10361	BBC1NI
BBC1OXF	909	BBC One Oxfordshire	EPG123 Freesat - London (London)	Digital Satellite (DVB-S)	10818 V (10356)	DVBS:282:10818:2:2048:10356	BBC1OXF
